rank,kanji,weighted_freq,weighted_freq_pct,cum_pct,word_count
471,特,0.000190,0.0445,87.3105,2
472,花,0.000190,0.0445,87.3550,2
473,桜,0.000190,0.0445,87.3995,2
474,歩,0.000188,0.0441,87.4436,2
475,術,0.000188,0.0441,87.4877,2
476,邪,0.000186,0.0435,87.5312,2
477,授,0.000185,0.0433,87.5745,2
478,至,0.000184,0.0430,87.6175,2
479,了,0.000183,0.0430,87.6605,3
480,拠,0.000182,0.0427,87.7032,1
481,疑,0.000182,0.0426,87.7458,2
482,寸,0.000182,0.0426,87.7884,1
483,海,0.000182,0.0426,87.8310,2
484,払,0.000182,0.0426,87.8735,2
485,答,0.000181,0.0425,87.9160,1
486,説,0.000181,0.0424,87.9585,2
487,慕,0.000178,0.0418,88.0002,1
488,諦,0.000177,0.0415,88.0418,1
489,想,0.000176,0.0411,88.0829,2
490,化,0.000175,0.0411,88.1239,3
491,引,0.000175,0.0410,88.1650,3
492,弁,0.000175,0.0410,88.2059,2
493,屎,0.000174,0.0408,88.2467,1
494,賞,0.000174,0.0408,88.2876,1
495,利,0.000174,0.0408,88.3283,3
496,士,0.000174,0.0407,88.3690,2
497,喜,0.000173,0.0406,88.4096,2
498,辛,0.000173,0.0404,88.4500,1
499,谷,0.000173,0.0404,88.4904,3
500,春,0.000172,0.0403,88.5307,3
501,責,0.000171,0.0400,88.5707,2
502,映,0.000170,0.0398,88.6105,2
503,務,0.000170,0.0398,88.6503,3
504,法,0.000169,0.0396,88.6899,2
505,愚,0.000168,0.0394,88.7293,1
506,国,0.000168,0.0393,88.7687,1
507,運,0.000167,0.0391,88.8078,2
508,怪,0.000167,0.0391,88.8469,2
509,羃,0.000167,0.0391,88.8860,1
510,告,0.000167,0.0390,88.9250,2
511,貴,0.000167,0.0390,88.9640,2
512,進,0.000166,0.0389,89.0029,2
513,悲,0.000166,0.0388,89.0417,3
514,試,0.000166,0.0388,89.0805,3
515,誘,0.000165,0.0387,89.1193,2
516,簡,0.000164,0.0384,89.1577,1
517,単,0.000164,0.0384,89.1960,1
518,道,0.000161,0.0377,89.2338,1
519,値,0.000161,0.0377,89.2715,2
520,届,0.000160,0.0375,89.3091,2
521,週,0.000160,0.0373,89.3464,2
522,速,0.000159,0.0373,89.3837,3
523,超,0.000157,0.0368,89.4205,2
524,忙,0.000157,0.0367,89.4572,1
525,準,0.000156,0.0366,89.4938,1
526,備,0.000156,0.0366,89.5304,1
527,議,0.000156,0.0365,89.5669,3
528,育,0.000155,0.0364,89.6032,2
529,貸,0.000155,0.0363,89.6396,1
530,久,0.000155,0.0362,89.6758,1
531,風,0.000154,0.0362,89.7120,1
532,撃,0.000153,0.0359,89.7479,2
533,酒,0.000153,0.0357,89.7836,2
534,巳,0.000151,0.0354,89.8190,1
535,抱,0.000151,0.0354,89.8545,2
536,惑,0.000150,0.0351,89.8896,2
537,図,0.000150,0.0350,89.9246,1
538,際,0.000149,0.0348,89.9594,2
539,妹,0.000148,0.0346,89.9941,2
540,川,0.000148,0.0346,90.0287,3
541,億,0.000147,0.0344,90.0630,2
542,態,0.000146,0.0343,90.0973,2
543,銃,0.000146,0.0342,90.1315,2
544,重,0.000146,0.0342,90.1657,2
545,為,0.000146,0.0342,90.1999,2
546,貼,0.000145,0.0340,90.2340,1
547,辺,0.000145,0.0339,90.2679,1
548,検,0.000145,0.0339,90.3018,2
549,揉,0.000145,0.0339,90.3356,1
550,狙,0.000143,0.0336,90.3692,1
551,因,0.000143,0.0335,90.4027,2
552,判,0.000143,0.0334,90.4361,2
553,邦,0.000143,0.0334,90.4695,1
554,稲,0.000142,0.0333,90.5029,2
555,遭,0.000142,0.0333,90.5362,1
556,役,0.000142,0.0333,90.5694,2
557,遊,0.000142,0.0332,90.6026,1
558,秘,0.000141,0.0330,90.6356,2
559,良,0.000141,0.0330,90.6687,3
560,舎,0.000141,0.0329,90.7016,1
561,質,0.000140,0.0327,90.7343,2
562,姿,0.000140,0.0327,90.7670,1
563,済,0.000139,0.0326,90.7996,1
564,勉,0.000138,0.0324,90.8320,1
565,偶,0.000138,0.0322,90.8643,2
566,況,0.000138,0.0322,90.8965,1
567,江,0.000138,0.0322,90.9287,2
568,広,0.000137,0.0322,90.9609,1
569,首,0.000137,0.0321,90.9930,1
570,拍,0.000137,0.0321,91.0251,1
571,身,0.000137,0.0320,91.0571,2
572,町,0.000136,0.0319,91.0890,1
573,逮,0.000136,0.0318,91.1208,1
574,住,0.000136,0.0318,91.1526,1
575,随,0.000134,0.0314,91.1839,1
576,未,0.000133,0.0312,91.2152,1
577,熱,0.000133,0.0311,91.2463,1
578,鈴,0.000132,0.0308,91.2771,2
579,釣,0.000132,0.0308,91.3079,1
580,翔,0.000131,0.0307,91.3386,2
581,平,0.000131,0.0307,91.3693,2
582,噂,0.000130,0.0305,91.3998,1
583,造,0.000130,0.0305,91.4303,1
584,求,0.000130,0.0305,91.4609,2
585,乃,0.000130,0.0305,91.4913,1
586,穂,0.000130,0.0305,91.5218,1
587,飛,0.000130,0.0305,91.5523,1
588,像,0.000130,0.0304,91.5827,2
589,雅,0.000130,0.0303,91.6131,1
590,杉,0.000130,0.0303,91.6434,2
591,限,0.000129,0.0303,91.6736,2
592,加,0.000129,0.0301,91.7038,2
593,期,0.000129,0.0301,91.7339,2
594,青,0.000128,0.0300,91.7639,2
595,室,0.000128,0.0299,91.7938,2
596,容,0.000128,0.0299,91.8236,2
597,悔,0.000127,0.0297,91.8533,2
598,驚,0.000126,0.0296,91.8830,1
599,宅,0.000126,0.0295,91.9124,2
600,水,0.000126,0.0294,91.9419,1
601,黒,0.000125,0.0292,91.9710,1
602,星,0.000124,0.0291,92.0001,2
603,銅,0.000124,0.0290,92.0291,1
604,貨,0.000124,0.0290,92.0581,1
605,品,0.000123,0.0289,92.0869,2
606,伺,0.000123,0.0288,92.1158,1
607,署,0.000123,0.0288,92.1446,2
608,抜,0.000123,0.0288,92.1734,2
609,経,0.000122,0.0286,92.2020,2
610,菜,0.000121,0.0283,92.2303,2
611,匂,0.000121,0.0283,92.2586,1
612,秀,0.000120,0.0282,92.2867,2
613,官,0.000120,0.0281,92.3148,2
614,波,0.000120,0.0280,92.3428,1
615,浮,0.000120,0.0280,92.3707,2
616,静,0.000119,0.0279,92.3987,2
617,五,0.000119,0.0279,92.4266,1
618,営,0.000118,0.0277,92.4542,2
619,湾,0.000118,0.0276,92.4818,1
620,敗,0.000118,0.0276,92.5094,1
621,鷹,0.000118,0.0276,92.5370,1
622,総,0.000118,0.0275,92.5646,2
623,騙,0.000117,0.0275,92.5920,1
624,織,0.000117,0.0274,92.6194,2
625,走,0.000117,0.0273,92.6468,1
626,故,0.000117,0.0273,92.6740,1
627,奪,0.000116,0.0272,92.7013,1
628,工,0.000116,0.0271,92.7284,2
629,夕,0.000116,0.0271,92.7555,2
630,敷,0.000115,0.0270,92.7825,2
631,触,0.000115,0.0269,92.8095,2
632,験,0.000115,0.0269,92.8364,2
633,箱,0.000115,0.0269,92.8633,1
634,療,0.000115,0.0269,92.8902,2
635,園,0.000115,0.0269,92.9171,2
636,治,0.000114,0.0268,92.9438,2
637,非,0.000114,0.0267,92.9705,1
638,遺,0.000114,0.0267,92.9973,1
639,糊,0.000114,0.0266,93.0239,1
640,塗,0.000114,0.0266,93.0505,1
641,犬,0.000113,0.0266,93.0770,1
642,其,0.000113,0.0266,93.1036,2
643,徳,0.000113,0.0265,93.1301,2
644,易,0.000113,0.0265,93.1566,1
645,悼,0.000113,0.0263,93.1829,1
646,黄,0.000112,0.0263,93.2093,1
